USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  0.0  0.1 225732  8892 ?        Ss   8月22   0:20 /sbin/init splash
root         89  0.0  0.0      0     0 ?        S    8月22   0:00 [oom_reaper]
root         90  0.0  0.0      0     0 ?        I<   8月22   0:00 [writeback]
root         91  0.0  0.0      0     0 ?        S    8月22   0:03 [kcompactd0]
root         92  0.0  0.0      0     0 ?        SN   8月22   0:00 [ksmd]
root         93  0.0  0.0      0     0 ?        SN   8月22   0:01 [khugepaged]
root        141  0.0  0.0      0     0 ?        I<   8月22   0:00 [kintegrityd]
root        142  0.0  0.0      0     0 ?        I<   8月22   0:00 [kblockd]
root        143  0.0  0.0      0     0 ?        I<   8月22   0:00 [blkcg_punt_bio]
root        146  0.0  0.0      0     0 ?        I<   8月22   0:00 [tpm_dev_wq]
root        147  0.0  0.0      0     0 ?        I<   8月22   0:00 [ata_sff]
root        148  0.0  0.0      0     0 ?        I<   8月22   0:00 [md]
root        149  0.0  0.0      0     0 ?        I<   8月22   0:00 [edac-poller]
root        150  0.0  0.0      0     0 ?        I<   8月22   0:00 [devfreq_wq]
root        151  0.0  0.0      0     0 ?        S    8月22   0:00 [watchdogd]
root        159  0.0  0.0      0     0 ?        S    8月22   0:19 [kswapd0]
root        160  0.0  0.0      0     0 ?        S    8月22   0:00 [ecryptfs-kthrea]
root        162  0.0  0.0      0     0 ?        I<   8月22   0:00 [kthrotld]
root        163  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/24-pciehp]
root        164  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/25-pciehp]
root        165  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/26-pciehp]
root        166  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/27-pciehp]
root        167  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/28-pciehp]
root        168  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/29-pciehp]
root        169  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/30-pciehp]
root        170  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/31-pciehp]
root        171  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/32-pciehp]
root        172  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/33-pciehp]
root        173  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/34-pciehp]
root        174  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/35-pciehp]
root        175  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/36-pciehp]
root        176  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/37-pciehp]
root        177  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/38-pciehp]
root        178  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/39-pciehp]
root        179  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/40-pciehp]
root        180  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/41-pciehp]
root        181  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/42-pciehp]
root        182  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/43-pciehp]
root        183  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/44-pciehp]
root        184  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/45-pciehp]
root        185  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/46-pciehp]
root        186  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/47-pciehp]
root        187  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/48-pciehp]
root        188  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/49-pciehp]
root        189  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/50-pciehp]
root        190  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/51-pciehp]
root        191  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/52-pciehp]
root        192  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/53-pciehp]
root        193  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/54-pciehp]
root        194  0.0  0.0      0     0 ?        S    8月22   0:00 [irq/55-pciehp]
root        197  0.0  0.0      0     0 ?        I<   8月22   0:00 [acpi_thermal_pm]
root        198  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_0]
root        199  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_0]
root        200  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_1]
root        201  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_1]
root        203  0.0  0.0      0     0 ?        I<   8月22   0:00 [vfio-irqfd-clea]
root        205  0.0  0.0      0     0 ?        I<   8月22   0:00 [ipv6_addrconf]
root        214  0.0  0.0      0     0 ?        I<   8月22   0:00 [kstrp]
root        217  0.0  0.0      0     0 ?        I<   8月22   0:00 [kworker/u257:0]
root        230  0.0  0.0      0     0 ?        I<   8月22   0:00 [charger_manager]
root        294  0.0  0.0      0     0 ?        I<   8月22   0:00 [mpt_poll_0]
root        295  0.0  0.0      0     0 ?        I<   8月22   0:00 [mpt/0]
root        296  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_2]
root        297  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_2]
root        298  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_3]
root        299  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_3]
root        300  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_4]
root        301  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_4]
root        302  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_5]
root        303  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_5]
root        304  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_6]
root        305  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_6]
root        306  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_7]
root        307  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_7]
root        308  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_8]
root        309  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_8]
root        310  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_9]
root        311  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_9]
root        312  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_10]
root        313  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_10]
root        314  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_11]
root        315  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_11]
root        316  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_12]
root        317  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_12]
root        318  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_13]
root        319  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_13]
root        320  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_14]
root        321  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_14]
root        322  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_15]
root        323  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_15]
root        324  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_16]
root        325  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_16]
root        326  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_17]
root        327  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_17]
root        328  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_18]
root        329  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_18]
root        330  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_19]
root        331  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_19]
root        332  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_20]
root        333  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_20]
root        334  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_21]
root        335  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_21]
root        336  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_22]
root        337  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_22]
root        338  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_23]
root        339  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_23]
root        340  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_24]
root        341  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_24]
root        342  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_25]
root        343  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_25]
root        344  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_26]
root        345  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_26]
root        346  0.0  0.0      0     0 ?        S    8月22   0:00 [scsi_eh_27]
root        347  0.0  0.0      0     0 ?        I<   8月22   0:00 [scsi_tmf_27]
